Enrichment,up/down,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO,up-regulated ,GO:0006749,glutathione metabolic process,10/290,60/23355,3.25E-09,1.12E-05,9.44E-06,56615/14859/69065/14381/14860/71522/14858/14862/225884/14870,10
GO,up-regulated ,GO:0009410,response to xenobiotic stimulus,11/290,112/23355,1.55E-07,0.000530339,0.000224473,18104/18171/14873/14859/14860/74134/14858/14862/56448/394430/394434,11
GO,up-regulated ,GO:0006805,xenobiotic metabolic process,10/290,101/23355,5.30E-07,0.001816431,0.000512554,18171/14873/14859/14860/74134/14858/14862/56448/394430/394434,10
GO,up-regulated ,GO:0071466,cellular response to xenobiotic stimulus,10/290,105/23355,7.62E-07,0.002611067,0.000552585,18171/14873/14859/14860/74134/14858/14862/56448/394430/394434,10
GO,up-regulated ,GO:0003073,regulation of systemic arterial blood pressure,10/290,125/23355,3.77E-06,0.012910846,0.002185879,15937/71660/276952/11535/14381/11606/14613/13648/16619/16622,10
GO,up-regulated ,GO:1901605,alpha-amino acid metabolic process,11/290,172/23355,1.08E-05,0.036911222,0.005068657,12846/11847/66514/14718/50880/12036/108682/75986/11911/22117/56448,11
GO,up-regulated ,GO:0045216,cell-cell junction organization,12/290,208/23355,1.22E-05,0.041913064,0.005068657,12550/60363/11853/17913/16582/11606/58235/27375/18417/13511/14613/70737,12
GO,up-regulated ,GO:0002064,epithelial cell development,13/290,262/23355,2.65E-05,0.090737631,0.009601497,12550/20855/12954/20779/21937/17921/11606/27375/11911/15901/319197/13610/70737,13
GO,up-regulated ,GO:0006575,cellular modified amino acid metabolic process,10/290,171/23355,5.81E-05,0.1989503,0.017044222,56615/14859/69065/14381/14860/71522/14858/14862/225884/14870,10
GO,up-regulated ,GO:0006520,cellular amino acid metabolic process,12/290,244/23355,5.88E-05,0.201342599,0.017044222,12846/14317/11847/66514/14718/50880/12036/108682/75986/11911/22117/56448,12
GO,up-regulated ,GO:0008217,regulation of blood pressure,11/290,210/23355,6.79E-05,0.232657598,0.017904659,15937/71660/276952/11610/11535/14381/11606/14613/13648/16619/16622,11
GO,up-regulated ,GO:0006790,sulfur compound metabolic process,13/290,294/23355,8.61E-05,0.295217416,0.020205777,12846/56615/22436/14859/69065/14381/14860/71522/22117/14858/14862/225884/14870,13
GO,up-regulated ,GO:0003014,renal system process,8/290,114/23355,9.05E-05,0.310296874,0.020205777,12846/20855/11829/11535/14381/11606/14678/14613,8
