Enrichment,up/down,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO,up-regulated ,GO:0050808,synapse organization,24/390,486/23355,2.62559E-06,0.009071398,0.005956656,30785/26364/19280/109711/260297/108100/53972/228357/228550/67784/14735/12826/108672/20474/18483/18530/233071/20964/93842/228880/104418/104027/226438/232813,24
GO,up-regulated ,GO:0003341,cilium movement,14/390,189/23355,3.84431E-06,0.013282089,0.005956656,12290/110084/380654/22210/73293/110082/16348/269701/77505/56087/77609/241116/68922/100101919,14
GO,up-regulated ,GO:0016358,dendrite development,17/390,309/23355,1.96665E-05,0.06794788,0.017382382,382056/19280/20620/17181/83814/12322/108100/53972/228357/228550/19055/108672/18483/233071/93842/228880/218194,17
GO,up-regulated ,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,6/390,36/23355,2.66013E-05,0.091907452,0.017382382,110084/73293/110082/16348/77609/68922,6
GO,up-regulated ,GO:1902600,proton transmembrane transport,9/390,94/23355,2.80456E-05,0.096897628,0.017382382,27060/232975/12856/17708/17719/17721/17711/72961/269356,9
GO,up-regulated ,GO:0006858,extracellular transport,6/390,39/23355,4.27157E-05,0.147582883,0.021024497,110084/73293/110082/16348/77609/68922,6
GO,up-regulated ,GO:0007264,small GTPase mediated signal transduction,20/390,439/23355,5.58432E-05,0.19293809,0.021024497,12977/52666/20620/106952/18596/108100/53972/404710/19415/70727/19417/19395/27261/233071/73728/75687/269608/104418/574402/108699,20
GO,up-regulated ,GO:0060996,dendritic spine development,10/390,128/23355,5.93325E-05,0.204993791,0.021024497,19280/20620/12322/108100/53972/228550/108672/18483/233071/228880,10
GO,up-regulated ,GO:0050803,regulation of synapse structure or activity,15/390,273/23355,6.10596E-05,0.210960902,0.021024497,30785/26364/19280/108100/53972/228357/228550/14735/108672/20474/18530/233071/93842/228880/72961,15
GO,up-regulated ,GO:0001569,branching involved in blood vessel morphogenesis,6/390,45/23355,9.80135E-05,0.338636541,0.027809198,13805/14254/67784/12826/19058/20315,6
GO,up-regulated ,GO:0007265,Ras protein signal transduction,17/390,352/23355,9.94849E-05,0.343720358,0.027809198,12977/52666/20620/106952/18596/108100/53972/404710/19415/70727/19417/27261/73728/75687/269608/104418/574402,17
GO,up-regulated ,GO:0001578,microtubule bundle formation,9/390,112/23355,0.000111361,0.384753148,0.027809198,215690/110084/22210/73293/110082/77609/241116/68922/56742,9
GO,up-regulated ,GO:0032688,negative regulation of interferon-beta production,4/390,16/23355,0.000118863,0.41066996,0.027809198,19280/270151/22036/19261,4
GO,up-regulated ,GO:0098926,postsynaptic signal transduction,6/390,47/23355,0.000125633,0.434060591,0.027809198,382056/12669/99296/12672/110454/17067,6
GO,up-regulated ,GO:0050807,regulation of synapse organization,14/390,261/23355,0.000137465,0.474942642,0.02839985,30785/26364/19280/108100/53972/228357/228550/14735/108672/20474/18530/233071/93842/228880,14
GO,up-regulated ,GO:0071674,mononuclear cell migration,11/390,171/23355,0.000148811,0.514140897,0.028671735,16859/12977/13601/14254/19261/216892/12267/12642/19229/20315/26417,11
GO,up-regulated ,GO:0032412,regulation of ion transmembrane transporter activity,14/390,265/23355,0.000161075,0.556515054,0.028671735,18301/260297/83814/15444/15561/19417/57780/12856/235281/433809/19229/15512/66395/241794,14
GO,up-regulated ,GO:0070286,axonemal dynein complex assembly,5/390,32/23355,0.00017579,0.60735335,0.028671735,110084/73293/110082/77609/68922,5
GO,up-regulated ,GO:0095500,acetylcholine receptor signaling pathway,5/390,32/23355,0.00017579,0.60735335,0.028671735,12669/99296/12672/110454/17067,5
GO,up-regulated ,GO:0051056,regulation of small GTPase mediated signal transduction,14/390,273/23355,0.000218976,0.756561063,0.031621885,12977/52666/106952/18596/53972/19415/70727/19417/73728/75687/269608/104418/574402/108699,14
GO,up-regulated ,GO:0046578,regulation of Ras protein signal transduction,13/390,242/23355,0.000233042,0.805161833,0.031621885,12977/52666/106952/18596/53972/19415/70727/19417/73728/75687/269608/104418/574402,13
GO,up-regulated ,GO:1905144,response to acetylcholine,5/390,34/23355,0.000236341,0.816557017,0.031621885,12669/99296/12672/110454/17067,5
GO,up-regulated ,GO:1905145,cellular response to acetylcholine,5/390,34/23355,0.000236341,0.816557017,0.031621885,12669/99296/12672/110454/17067,5
GO,up-regulated ,GO:0022898,regulation of transmembrane transporter activity,14/390,276/23355,0.000244898,0.846121731,0.031621885,18301/260297/83814/15444/15561/19417/57780/12856/235281/433809/19229/15512/66395/241794,14
GO,up-regulated ,GO:0036158,outer dynein arm assembly,4/390,20/23355,0.00030013,1,0.037203431,73293/110082/77609/68922,4
GO,up-regulated ,GO:0035082,axoneme assembly,7/390,79/23355,0.000354138,1,0.041445921,110084/22210/73293/110082/77609/241116/68922,7
GO,up-regulated ,GO:0032409,regulation of transporter activity,14/390,287/23355,0.000363794,1,0.041445921,18301/260297/83814/15444/15561/19417/57780/12856/235281/433809/19229/15512/66395/241794,14
GO,up-regulated ,GO:0007018,microtubule-based movement,17/390,394/23355,0.000374477,1,0.041445921,12290/327954/110084/380654/22210/73293/110082/13427/16348/269701/77505/16578/56087/77609/241116/68922/100101919,17
GO,up-regulated ,GO:0060271,cilium assembly,15/390,324/23355,0.000394638,1,0.041953496,70300/16776/110084/380654/22210/73293/110082/70235/83922/77609/241116/53860/380614/68922/259300,15
GO,up-regulated ,GO:0060294,cilium movement involved in cell motility,9/390,133/23355,0.000406139,1,0.041953496,12290/110084/380654/22210/110082/269701/77609/241116/68922,9
GO,up-regulated ,GO:0060998,regulation of dendritic spine development,7/390,82/23355,0.000445051,1,0.044489998,19280/20620/108100/53972/228550/18483/228880,7
GO,up-regulated ,GO:0032272,negative regulation of protein polymerization,7/390,83/23355,0.00047918,1,0.046404816,76686/22349/12562/245857/19241/12332/50918,7
GO,up-regulated ,GO:0001936,regulation of endothelial cell proliferation,9/390,137/23355,0.000504452,1,0.047371786,12390/11482/21828/13805/13601/14254/14205/13386/20315,9
GO,up-regulated ,GO:1904062,regulation of cation transmembrane transport,16/390,370/23355,0.000539234,1,0.049148785,27060/18301/260297/83814/80906/15444/74166/19417/57780/12856/235281/433809/19229/15512/66395/241794,16
GO,up-regulated ,GO:0048167,regulation of synaptic plasticity,16/390,371/23355,0.00055514,1,0.049152822,382056/67826/260297/20620/319984/12322/108100/12877/20614/228550/19417/20964/104027/51791/232813/19229,16
GO,up-regulated ,GO:0001539,cilium or flagellum-dependent cell motility,9/390,140/23355,0.000590342,1,0.049444296,12290/110084/380654/22210/110082/269701/77609/241116/68922,9
GO,up-regulated ,GO:0060285,cilium-dependent cell motility,9/390,140/23355,0.000590342,1,0.049444296,12290/110084/380654/22210/110082/269701/77609/241116/68922,9
GO,up-regulated ,GO:0043586,tongue development,4/390,24/23355,0.000624421,1,0.05081761,70300/22410/20474/380614,4
GO,up-regulated ,GO:0099173,postsynapse organization,11/390,203/23355,0.000645552,1,0.05081761,19280/109711/108100/53972/228357/228550/108672/233071/228880/104418/232813,11
GO,up-regulated ,GO:0030198,extracellular matrix organization,14/390,306/23355,0.000685823,1,0.05081761,12390/14089/229595/18451/69675/13805/12831/12826/12827/16578/81877/219151/107581/66548,14
GO,up-regulated ,GO:0043062,extracellular structure organization,14/390,307/23355,0.00070795,1,0.05081761,12390/14089/229595/18451/69675/13805/12831/12826/12827/16578/81877/219151/107581/66548,14
GO,up-regulated ,GO:0045229,external encapsulating structure organization,14/390,307/23355,0.00070795,1,0.05081761,12390/14089/229595/18451/69675/13805/12831/12826/12827/16578/81877/219151/107581/66548,14
GO,up-regulated ,GO:0007611,learning or memory,14/390,308/23355,0.00073068,1,0.05081761,382056/12290/260297/218461/20620/319984/20614/99296/232975/104027/51791/232813/94109/72961,14
GO,up-regulated ,GO:0032480,negative regulation of type I interferon production,4/390,25/23355,0.000733634,1,0.05081761,19280/270151/22036/19261,4
GO,up-regulated ,GO:0035904,aorta development,6/390,65/23355,0.000751189,1,0.05081761,11482/70300/17168/18596/13805/67784,6
GO,up-regulated ,GO:0050890,cognition,15/390,345/23355,0.000754324,1,0.05081761,382056/12290/260297/218461/20620/319984/20614/12669/99296/232975/104027/51791/232813/94109/72961,15
GO,up-regulated ,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,11/390,209/23355,0.00082076,1,0.054116825,16859/16600/19280/68802/11658/14735/12562/18530/93842/226438/50918,11
GO,up-regulated ,GO:0016050,vesicle organization,13/390,279/23355,0.000892795,1,0.056325117,12390/67826/20614/241727/228960/66371/108672/235415/192232/545192/209086/170833/72961,13
GO,up-regulated ,GO:0001937,negative regulation of endothelial cell proliferation,5/390,45/23355,0.000892992,1,0.056325117,12390/11482/13805/14254/13386,5
GO,up-regulated ,GO:0043587,tongue morphogenesis,3/390,12/23355,0.000908778,1,0.056325117,70300/20474/380614,3
GO,down-regulated,GO:0030901,midbrain development,7/374,51/23355,1.61202E-05,0.056582032,0.022472195,22412/22418/30841/14183/13799/14184/64290,7
GO,down-regulated,GO:0006091,generation of precursor metabolites and energy,19/374,404/23355,3.19094E-05,0.112002071,0.022472195,68015/12867/216019/13382/66445/67264/66359/14467/12850/18597/56412/57423/27425/54646/140491/13853/225887/54403/105651,19
GO,down-regulated,GO:0021953,central nervous system neuron differentiation,14/374,239/23355,3.42697E-05,0.120286624,0.022472195,170758/22412/110532/19206/22418/11444/13844/14183/19883/14472/50913/13390/20466/16875,14
GO,down-regulated,GO:0021794,thalamus development,4/374,13/23355,4.12699E-05,0.144857268,0.022472195,11444/14472/50913/64290,4
GO,down-regulated,GO:0015980,energy derivation by oxidation of organic compounds,14/374,250/23355,5.5904E-05,0.196222953,0.022472195,68015/12867/13382/66445/67264/66359/12850/18597/56412/54646/140491/13853/225887/105651,14
GO,down-regulated,GO:0006119,oxidative phosphorylation,9/374,107/23355,5.67316E-05,0.199127918,0.022472195,12867/13382/66445/67264/14467/12850/57423/27425/225887,9
GO,down-regulated,GO:0046034,ATP metabolic process,14/374,256/23355,7.21239E-05,0.253154867,0.022472195,67126/12867/216019/13382/66445/67264/80752/14467/12850/57423/27425/11958/225887/54403,14
GO,down-regulated,GO:0030900,forebrain development,18/374,397/23355,8.1909E-05,0.287500684,0.022472195,18016/170758/12140/22418/11444/13844/20460/30841/14183/14472/50913/13390/20466/19091/14184/64290/668158/16875,18
GO,down-regulated,GO:0021915,neural tube development,12/374,197/23355,8.51826E-05,0.298990817,0.022472195,19206/22418/14312/12151/20460/30841/12850/12160/14472/14362/64290/22772,12
GO,down-regulated,GO:0072175,epithelial tube formation,11/374,168/23355,8.80477E-05,0.309047444,0.022472195,22412/19206/22418/14312/20460/30841/12850/14183/12160/14362/22772,11
GO,down-regulated,GO:0033198,response to ATP,5/374,29/23355,8.87211E-05,0.31141097,0.022472195,20343/22065/55991/234779/57028,5
GO,down-regulated,GO:0046683,response to organophosphorus,8/374,89/23355,9.16275E-05,0.321612553,0.022472195,20343/22065/55991/330953/234779/54611/110893/57028,8
GO,down-regulated,GO:0016055,Wnt signaling pathway,19/374,438/23355,9.36003E-05,0.328536929,0.022472195,13205/74499/14773/75723/170758/22412/22418/11798/76425/14183/107351/17240/14370/235497/329252/219134/14362/14184/13853,19
GO,down-regulated,GO:0198738,cell-cell signaling by wnt,19/374,440/23355,9.93287E-05,0.348643894,0.022472195,13205/74499/14773/75723/170758/22412/22418/11798/76425/14183/107351/17240/14370/235497/329252/219134/14362/14184/13853,19
GO,down-regulated,GO:0006814,sodium ion transport,13/374,236/23355,0.000120795,0.42398956,0.025506764,338370/102857/80884/13491/53416/14664/243616/330953/20516/54403/432450/67149/110893,13
GO,down-regulated,GO:0035148,tube formation,11/374,184/23355,0.000196686,0.690368324,0.036291798,22412/19206/22418/14312/20460/30841/12850/14183/12160/14362/22772,11
GO,down-regulated,GO:0016331,morphogenesis of embryonic epithelium,11/374,185/23355,0.000206182,0.72369876,0.036291798,22412/19206/22418/14312/20460/30841/12850/14183/12160/14362/22772,11
GO,down-regulated,GO:0021954,central nervous system neuron development,8/374,100/23355,0.000207331,0.727730272,0.036291798,170758/110532/22418/11444/13844/14183/14472/16875,8
GO,down-regulated,GO:0060562,epithelial tube morphogenesis,17/374,393/23355,0.000224071,0.78648991,0.036291798,17387/18612/22412/19206/22418/14312/269152/21923/20460/18595/30841/12850/14183/12160/14472/14362/22772,17
GO,down-regulated,GO:0001838,embryonic epithelial tube formation,10/374,157/23355,0.000229161,0.804353614,0.036291798,22412/19206/22418/14312/20460/30841/12850/12160/14362/22772,10
GO,down-regulated,GO:0045333,cellular respiration,10/374,159/23355,0.000253825,0.890926082,0.038283695,68015/12867/13382/66445/67264/66359/12850/18597/56412/225887,10
GO,down-regulated,GO:0014074,response to purine-containing compound,8/374,105/23355,0.000289906,1,0.041738123,20343/22065/55991/330953/234779/54611/110893/57028,8
GO,down-regulated,GO:0042775,mitochondrial ATP synthesis coupled electron transport,6/374,58/23355,0.000324946,1,0.044136538,12867/13382/66445/67264/12850/225887,6
GO,down-regulated,GO:0001841,neural tube formation,9/374,135/23355,0.000334434,1,0.044136538,19206/22418/14312/20460/30841/12850/12160/14362/22772,9
GO,down-regulated,GO:0015985,"energy coupled proton transport, down electrochemical gradient",4/374,22/23355,0.000376713,1,0.04589186,67126/57423/27425/11958,4
GO,down-regulated,GO:0015986,ATP synthesis coupled proton transport,4/374,22/23355,0.000376713,1,0.04589186,67126/57423/27425/11958,4
GO,down-regulated,GO:0033108,mitochondrial respiratory chain complex assembly,7/374,84/23355,0.000401538,1,0.047104393,56046/67264/66359/66091/67184/26926/225887,7
GO,down-regulated,GO:0043551,regulation of phosphatidylinositol 3-kinase activity,5/374,40/23355,0.000425542,1,0.048137406,22325/18710/18595/57257/14184,5
GO,down-regulated,GO:1990542,mitochondrial transmembrane transport,7/374,86/23355,0.00046354,1,0.049386496,69029/66169/18408/94282/26926/57423/27425,7
GO,down-regulated,GO:0042773,ATP synthesis coupled electron transport,6/374,62/23355,0.000467768,1,0.049386496,12867/13382/66445/67264/12850/225887,6
GO,down-regulated,GO:0006839,mitochondrial transport,11/374,205/23355,0.000495401,1,0.050616648,66400/69029/11632/66169/18408/94282/67184/26926/57423/27425/69773,11
